,Date,itx,Close,PositionCost,PositionType,AssetsFund,AssetsIncrease,IdleFund,TotalFund,TotalInterest
1241,2017-04-07,1242.0,10.591706275939941,10.795645713806152,-1,1.1816956469054747,0.01889089761489675,0.0,1.1816956469054747,0.18169564690547468
1242,2017-04-10,1243.0,10.506183624267578,10.795645713806152,-1,1.1908834247897777,0.026812855591249334,0.0,1.1908834247897777,0.1908834247897777
1243,2017-04-11,1244.0,10.453553199768066,10.795645713806152,-1,1.1965375601656383,0.03168800858299717,0.0,1.1965375601656383,0.19653756016563828
1244,2017-04-12,1245.0,10.453553199768066,10.795645713806152,-1,1.1965375601656383,0.03168800858299717,0.0,1.1965375601656383,0.19653756016563828
1245,2017-04-13,1246.0,10.361452102661133,10.795645713806152,-1,1.2064320665516302,0.04021932755627071,0.0,1.2064320665516302,0.20643206655163016
1246,2017-04-14,1247.0,10.203563690185547,10.795645713806152,-1,1.2233941653168594,0.054844521515133984,0.0,1.2233941653168594,0.2233941653168594
1247,2017-04-17,1248.0,10.236456871032715,10.795645713806152,-1,1.2198604203542993,0.05179762819173582,0.0,1.2198604203542993,0.2198604203542993
1248,2017-04-18,1249.0,10.065410614013672,10.795645713806152,-1,1.2382360785770228,0.0676416324832344,0.0,1.2382360785770228,0.23823607857702278
1249,2017-04-19,1250.0,9.940414428710938,10.795645713806152,-1,1.2516645348338096,0.07922002145749292,0.0,1.2516645348338096,0.25166453483380957
1250,2017-04-20,1251.0,9.80884075164795,10.795645713806152,-1,1.2657996171381671,0.09140768308987898,0.0,1.2657996171381671,0.26579961713816713
1251,2017-04-21,1252.0,9.9009428024292,10.795645713806152,-1,1.2559050082980583,0.08287627577781204,0.0,1.2559050082980583,0.2559050082980583
1252,2017-04-24,1253.0,9.868048667907715,10.795645713806152,-1,1.2594388557147356,0.0859232574400036,0.0,1.2594388557147356,0.2594388557147356
1253,2017-04-25,1254.0,9.9009428024292,10.795645713806152,-1,1.2559050082980583,0.08287627577781204,0.0,1.2559050082980583,0.2559050082980583
1254,2017-04-26,1255.0,9.9009428024292,10.795645713806152,-1,1.2559050082980583,0.08287627577781204,0.0,1.2559050082980583,0.2559050082980583
1255,2017-04-27,1256.0,10.00620174407959,10.795645713806152,-1,1.2445969424545722,0.07312614647190319,0.0,1.2445969424545722,0.2445969424545722
1256,2017-04-28,1257.0,10.00620174407959,10.795645713806152,-1,1.2445969424545722,0.07312614647190319,0.0,1.2445969424545722,0.2445969424545722
1257,2017-05-02,1258.0,9.973307609558105,10.795645713806152,-1,1.2481307898712495,0.07617312813409476,0.0,1.2481307898712495,0.24813078987124948
1258,2017-05-03,1259.0,9.92067813873291,10.795645713806152,-1,1.2537848227929926,0.08104819278704918,0.0,1.2537848227929926,0.25378482279299264
1259,2017-05-04,1260.0,9.854890823364258,10.795645713806152,-1,1.26085241517223,0.08714206777263891,0.0,1.26085241517223,0.26085241517223
1260,2017-05-05,1261.0,9.81541919708252,10.795645713806152,-1,1.2650928886364787,0.09079832209295803,0.0,1.2650928886364787,0.26509288863647873
1261,2017-05-08,1262.0,9.775947570800781,10.795645713806152,-1,1.2693333621007274,0.09445457641327715,0.0,1.2693333621007274,0.26933336210072745
1262,2017-05-09,1263.0,9.710160255432129,10.795645713806152,-1,1.2764009544799648,0.10054845139886688,0.0,1.2764009544799648,0.2764009544799648
1263,2017-05-10,1264.0,9.611480712890625,10.795645713806152,-1,1.287002189367645,0.10968913136906137,0.0,1.287002189367645,0.2870021893676451
1264,2017-05-11,1265.0,9.703581809997559,10.795645713806152,-1,1.2771076829816534,0.10115781239578783,0.0,1.2771076829816534,0.27710768298165345
1265,2017-05-12,1266.0,10.00620174407959,10.795645713806152,-1,1.2445969424545722,0.07312614647190319,0.0,1.2445969424545722,0.2445969424545722
1266,2017-05-15,1267.0,10.045675277709961,10.795645713806152,-1,1.2403562640820884,0.06946971547399726,0.0,1.2403562640820884,0.24035626408208843
1267,2017-05-16,1268.0,10.045675277709961,10.795645713806152,-1,1.2403562640820884,0.06946971547399726,0.0,1.2403562640820884,0.24035626408208843
1268,2017-05-17,1269.0,10.00620174407959,10.795645713806152,-1,1.2445969424545722,0.07312614647190319,0.0,1.2445969424545722,0.2445969424545722
1269,2017-05-18,1270.0,9.874628067016602,10.795645713806152,-1,1.2587320247589298,0.08531380810428925,0.0,1.2587320247589298,0.25873202475892976
1270,2017-05-19,1271.0,9.881206512451172,10.795645713806152,-1,1.2580252962572411,0.0847044471073683,0.0,1.2580252962572411,0.25802529625724113
1271,2017-05-22,1272.0,9.894364356994629,10.795645713806152,-1,1.2566117367997467,0.08348563677473299,0.0,1.2566117367997467,0.2566117367997467
1272,2017-05-23,1273.0,10.150934219360352,10.795645713806152,-1,1.2290481982386023,0.05971958616808841,0.0,1.2290481982386023,0.22904819823860234
1273,2017-05-24,1274.0,10.177248001098633,10.177248001098633,1,1.2262212842318483,0.0,0.0,1.2262212842318483,0.22622128423184829
1274,2017-05-25,1275.0,11.202971458435059,10.177248001098633,1,1.349807143099199,0.10078593517871423,0.0,1.349807143099199,0.3498071430991989
1275,2017-05-26,1276.0,11.124992370605469,10.177248001098633,1,1.3404117134888263,0.0931238355795719,0.0,1.3404117134888263,0.34041171348882626
1276,2017-05-31,1277.0,11.124992370605469,10.177248001098633,1,1.3404117134888263,0.0931238355795719,0.0,1.3404117134888263,0.34041171348882626
1277,2017-06-01,1278.0,11.194307327270508,10.177248001098633,1,1.3487632320102485,0.09993461160247677,0.0,1.3487632320102485,0.3487632320102485
1278,2017-06-02,1279.0,11.168313980102539,10.177248001098633,1,1.3456313838384881,0.0973805471672618,0.0,1.3456313838384881,0.3456313838384881
1279,2017-06-05,1280.0,11.13365650177002,10.177248001098633,1,1.3414556245777771,0.09397515915580937,0.0,1.3414556245777771,0.3414556245777771
1280,2017-06-06,1281.0,11.09033489227295,10.177248001098633,1,1.3362359542281155,0.08971844756811947,0.0,1.3362359542281155,0.3362359542281155
1281,2017-06-07,1282.0,11.124992370605469,10.177248001098633,1,1.3404117134888263,0.0931238355795719,0.0,1.3404117134888263,0.34041171348882626
1282,2017-06-08,1283.0,11.124992370605469,10.177248001098633,1,1.3404117134888263,0.0931238355795719,0.0,1.3404117134888263,0.34041171348882626
1283,2017-06-09,1284.0,11.202971458435059,10.177248001098633,1,1.349807143099199,0.10078593517871423,0.0,1.349807143099199,0.3498071430991989
1284,2017-06-12,1285.0,11.073006629943848,10.177248001098633,1,1.334148132050214,0.08801580041564457,0.0,1.334148132050214,0.334148132050214
1285,2017-06-13,1286.0,10.908384323120117,10.177248001098633,1,1.314313361740518,0.07184027764112245,0.0,1.314313361740518,0.31431336174051805
1286,2017-06-14,1287.0,10.795748710632324,10.177248001098633,1,1.3007422877743424,0.06077288373703032,0.0,1.3007422877743424,0.3007422877743424
1287,2017-06-15,1288.0,10.726433753967285,10.177248001098633,1,1.2923907692529206,0.05396210771412545,0.0,1.2923907692529206,0.2923907692529206
1288,2017-06-16,1289.0,10.700441360473633,10.177248001098633,1,1.2892590359860683,0.051408136985413085,0.0,1.2892590359860683,0.2892590359860683
1289,2017-06-19,1290.0,10.743762016296387,10.177248001098633,1,1.294478591430822,0.05566475486660036,0.0,1.294478591430822,0.2944785914308219
1290,2017-06-20,1291.0,10.648454666137695,10.177248001098633,1,1.282995339642548,0.046300008114983124,0.0,1.282995339642548,0.28299533964254797
1291,2017-06-21,1292.0,10.69177532196045,10.177248001098633,1,1.2882148950873018,0.050556625996170404,0.0,1.2882148950873018,0.2882148950873018
1292,2017-06-22,1293.0,10.891056060791016,10.177248001098633,1,1.3122255395626166,0.07013763048864755,0.0,1.3122255395626166,0.31222553956261656
1293,2017-06-23,1294.0,10.951705932617188,10.177248001098633,1,1.3195330320901797,0.07609698922881235,0.0,1.3195330320901797,0.3195330320901797
1294,2017-06-26,1295.0,10.951705932617188,10.177248001098633,1,1.3195330320901797,0.07609698922881235,0.0,1.3195330320901797,0.3195330320901797
1295,2017-06-27,1296.0,11.003691673278809,10.177248001098633,1,1.325796613528792,0.08120502439273969,0.0,1.325796613528792,0.32579661352879197
1296,2017-06-28,1297.0,11.081670761108398,10.177248001098633,1,1.3351920431391648,0.08886712399188201,0.0,1.3351920431391648,0.33519204313916484
1297,2017-06-29,1298.0,11.055678367614746,10.177248001098633,1,1.3320603098723125,0.08631315326316966,0.0,1.3320603098723125,0.3320603098723125
1298,2017-06-30,1299.0,10.960369110107422,10.177248001098633,1,1.3205768282742223,0.0769482190985472,0.0,1.3205768282742223,0.3205768282742223
1299,2017-07-03,1300.0,10.882391929626465,10.177248001098633,1,1.3111816284736657,0.0692863069124101,0.0,1.3111816284736657,0.3111816284736657
1300,2017-07-04,1301.0,10.873727798461914,10.177248001098633,1,1.310137717384715,0.06843498333617264,0.0,1.310137717384715,0.3101377173847151
1301,2017-07-05,1302.0,10.93437671661377,10.177248001098633,1,1.3174450950073702,0.07439424836983483,0.0,1.3174450950073702,0.31744509500737017
1302,2017-07-06,1303.0,10.969035148620605,10.177248001098633,1,1.3216209691729892,0.07779973008778987,0.0,1.3216209691729892,0.3216209691729892
1303,2017-07-07,1304.0,10.917048454284668,10.177248001098633,1,1.315357272829469,0.07269160121735992,0.0,1.315357272829469,0.3153572728294689
1304,2017-07-10,1305.0,10.85639762878418,10.177248001098633,1,1.3080496653969975,0.0667321487706925,0.0,1.3080496653969975,0.3080496653969975
1305,2017-07-11,1306.0,11.09033489227295,10.177248001098633,1,1.3362359542281155,0.08971844756811947,0.0,1.3362359542281155,0.3362359542281155
1306,2017-07-12,1307.0,11.142321586608887,10.177248001098633,1,1.3424996505716358,0.09482657643854943,0.0,1.3424996505716358,0.3424996505716358
1307,2017-07-13,1308.0,11.497559547424316,10.177248001098633,1,1.385301039362788,0.1297316864228086,0.0,1.385301039362788,0.38530103936278803
1308,2017-07-14,1309.0,11.77481746673584,10.177248001098633,1,1.4187068836386598,0.15697460310142286,0.0,1.4187068836386598,0.4187068836386598
1309,2017-07-17,1310.0,11.922110557556152,10.177248001098633,1,1.436453716865546,0.17144738501696744,0.0,1.436453716865546,0.436453716865546
1310,2017-07-18,1311.0,11.740159034729004,10.177248001098633,1,1.4145310094730408,0.15356912138346782,0.0,1.4145310094730408,0.4145310094730408
1311,2017-07-19,1312.0,11.861459732055664,10.177248001098633,1,1.429146109433075,0.16548793257030003,0.0,1.429146109433075,0.4291461094330751
1312,2017-07-20,1313.0,11.800809860229492,10.177248001098633,1,1.421838616905512,0.15952857383013522,0.0,1.421838616905512,0.42183861690551194
1313,2017-07-21,1314.0,11.653515815734863,10.177248001098633,1,1.4040916687737173,0.14505569820808803,0.0,1.4040916687737173,0.40409166877371727
1314,2017-07-24,1315.0,11.844130516052246,10.177248001098633,1,1.4270581723502656,0.1637851917113225,0.0,1.4270581723502656,0.42705817235026555
1315,2017-07-25,1316.0,11.7055025100708,10.177248001098633,1,1.4103553651172378,0.150163827078518,0.0,1.4103553651172378,0.4103553651172378
1316,2017-07-26,1317.0,11.592865943908691,10.177248001098633,1,1.3967841762461541,0.13909633946792324,0.0,1.3967841762461541,0.39678417624615414
1317,2017-07-27,1318.0,11.592865943908691,10.177248001098633,1,1.3967841762461541,0.13909633946792324,0.0,1.3967841762461541,0.39678417624615414
1318,2017-07-28,1319.0,11.670844078063965,10.177248001098633,1,1.406179490951619,0.14675834536056295,0.0,1.406179490951619,0.406179490951619
1319,2017-07-31,1320.0,11.575536727905273,10.177248001098633,1,1.3946962391633446,0.1373935986089457,0.0,1.3946962391633446,0.3946962391633446
1320,2017-08-01,1321.0,11.636187553405762,10.177248001098633,1,1.402003846595816,0.14335305105561313,0.0,1.402003846595816,0.402003846595816
1321,2017-08-02,1322.0,11.644851684570312,10.177248001098633,1,1.4030477576847669,0.14420437463185057,0.0,1.4030477576847669,0.40304775768476686
1322,2017-08-03,1323.0,11.33293628692627,10.177248001098633,1,1.365466154148184,0.1135560699417839,0.0,1.365466154148184,0.36546615414818406
1323,2017-08-04,1324.0,11.150985717773438,10.177248001098633,1,1.3435435616605866,0.09567790001478689,0.0,1.3435435616605866,0.34354356166058664
1324,2017-08-07,1325.0,11.202971458435059,10.177248001098633,1,1.349807143099199,0.10078593517871423,0.0,1.349807143099199,0.3498071430991989
1325,2017-08-08,1326.0,11.150985717773438,11.150985717773438,-1,1.3435435616605866,-0.0,0.0,1.3435435616605866,0.34354356166058664
1326,2017-08-09,1327.0,11.055678367614746,11.150985717773438,-1,1.3550268134488608,0.008546988810754374,0.0,1.3550268134488608,0.3550268134488608
1327,2017-08-10,1328.0,11.081670761108398,11.150985717773438,-1,1.3518950801820087,0.006216038511694862,0.0,1.3518950801820087,0.35189508018200866
1328,2017-08-11,1329.0,10.986363410949707,11.150985717773438,-1,1.3633783319702828,0.014763027322449237,0.0,1.3633783319702828,0.3633783319702828
1329,2017-08-14,1330.0,10.882391929626465,11.150985717773438,-1,1.3759054948475073,0.024086999566223448,0.0,1.3759054948475073,0.37590549484750735
1330,2017-08-15,1331.0,10.908384323120117,11.150985717773438,-1,1.3727737615806554,0.021756049267163936,0.0,1.3727737615806554,0.37277376158065545
1331,2017-08-16,1332.0,10.821741104125977,11.150985717773438,-1,1.3832131022799787,0.029526054644898474,0.0,1.3832131022799787,0.38321310227997873
1332,2017-08-17,1333.0,10.85639762878418,11.150985717773438,-1,1.3790374579241758,0.026418120912819122,0.0,1.3790374579241758,0.37903745792417576
1333,2017-08-18,1334.0,10.839069366455078,11.150985717773438,-1,1.381125280102077,0.027972087778858797,0.0,1.381125280102077,0.381125280102077
1334,2017-08-21,1335.0,10.839069366455078,11.150985717773438,-1,1.381125280102077,0.027972087778858797,0.0,1.381125280102077,0.381125280102077
